Categoría,Provincia,Departamento,Localidad,Nombre,Dirección,Piso,CP,cod_area,Teléfono,Mail,Web,tipo_gestion,Pantallas,Butacas,año_actualizacion
Salas de cine,Catamarca,Capital,Catamarca,Cinemacenter,Intendente Mamerto Medina 220,s/d,4700,s/d,s/d,s/d,http://www.cinemacenter.com.ar/,Privado comercial,5,743,2018
Salas de cine,Catamarca,Santa Maria,Santa María,Centro Cultural San Agustín,San Martin 173,s/d,4139,3838,421511,s/d,s/d,Privado comercial,1,440,2018
Salas de cine,Chaco,San Fernando,Resistencia,Los Cines De La Costa,Av. Sarmiento 2600,s/d,3500,3794,472200,administracion@loscinesdelacosta.com.ar,http://resistencia.loscinesdelacosta.com.ar/,Privado comercial,5,820,2018
Salas de cine,Chubut,Sarmiento,Sarmiento,Deborah Jones De Williams,Reg. Inf. Mec. 25 Esquina 20 De Junio,s/d,9020,297,4897169,culturasarmiento@hotmail.com,http://www.culturachubut.gob.ar/…/convo-evita-culturales.ht…,Público municipal,1,80,2018
Salas de cine,Corrientes,Bella Vista,Bella Vista,Fantasio,Salta 1059,s/d,3432,s/d,s/d,nuevocineteatrorex@gmail.com,https://www.facebook.com/CineFantasioBellaVista/,Privado comercial,1,240,2018
Salas de cine,Entre Ríos,Gualeguaychu,Gualeguaychú,Cinema Gualeguaychú,25 De Mayo 1383,s/d,2820,263,4553653,cebriancine@gmail.com,http://cinemagualeguaychu.com,Privado comercial,1,330,2018
Salas de cine,Entre Ríos,Parana,Crespo,Salón Teatro Municipal,25 De Mayo 943,s/d,3116,343,4951160,municres@gmail.com,http://www.crespo.gov.ar,Público municipal,1,180,2018
Salas de cine,Entre Ríos,Federacion,Chajarí,Cine Gran Libertad,3 De Febrero 3060,s/d,3228,11,49899707,gerenciagranlibertad@gmail.com,http://cinegranlibertad.com/sala/gran-libertad/alias/chaj,Privado comercial,1,400,2018
Salas de cine,Entre Ríos,Parana,Paraná,Cine Complejo Círculo,Andres Pazos 339,s/d,3100,343,4233222,v-vieiro@hotmail.com,https://www.cinecirculo.com.ar/,Privado comercial,2,300,2018
Salas de cine,Entre Ríos,Colon,Colón,Starlight,Calle 12 De Abril 287,s/d,3280,3447,424481,samanthaeventos@hotmail.com,https://www.facebook.com/pg/StarlightCineColon/about/?ref=page_internal,Privado comercial,2,154,2018
