provincia,localidad,nombre,direccion,denominacion_especifica,jurisdiccion _declaratoria,fecha_de_inauguracion,decreto_o_ley,numero_de_decreto_o_ley,,,
Buenos Aires,25 de Mayo,Cementerio de la Verde,s/d,Lugar Histórico,Nacional,9/3/1989,Decreto,325,,,
Buenos Aires,9 de Julio,Pirámide que guarda los restos del Tte.Cnel. Estanislao Heredia y de 20 soldados muertos en acción el 27/6/1872 en la Campaña del Desierto,Cementerio de 9 de Julio,Sepulcro,Nacional,13/7/1982,Decreto,89,,,
Buenos Aires,Adolfo González Chaves,Ex Mercado Municipal,Sarmiento 158,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Adolfo González Chaves,Palacio Municipal,Bartolomé Mitre y Juan Elicagaray,Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Adrogué,Adrogué Tennis Club,Macías y Sánchez Nº 1846,Bien de Interés Histórico,Nacional,22/7/2014,Decreto,1163,,,
Buenos Aires,Alberdi,Delegación Municipal,Manuel Belgrano entre Bordelois y Sarmiento,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Alberdi,Matadero Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Alberti,"Conjunto formado por la Plaza General José Arias; el Palacio Municipal, y la fachada de la Escuela de Enseñanza Media Nº 2",s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Alberti,Portal de acceso al Parque General San Martín,Avenida General San Martín y Avenida Vaccarezza,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Alem,Matadero Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Avellaneda,"Murales de Berni ubicados en las paredes laterales de acceso público y en dos hornacinas de la pared del pullman del ex cine San Martín, actual Bingo 21",Avenida Mitre 219 al 237,Bien de Interés Histórico Artístico,Nacional,9/2/2001,Decreto,142,,,
Buenos Aires,Avellaneda,Teatro Roma,Sarmiento 109,Bien de Interés Histórico,Nacional,10/9/1997,Ley,24875,,,
Buenos Aires,Azul,Matadero Municipal,En el camino viejo a Tandil,Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Azul,Plaza San Martín,"Avenida San Martín y las calles Burgos, Yrigoyen y Colón",Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Azul,Portal del Cementerio Municipal,Calles Necochea y Lamadrid,Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Azul,Teatro Español,San Martín 427,Bien de interés histórico-artístico,Nacional,21/6/2011,Decreto,837,,,
Buenos Aires,Bahía Blanca,Barrio Inglés,"Brickman, O'Higgins, Donado Y Avenida Colón",Monumento Histórico,Nacional,19/11/2014,Decreto,2181,,,
Buenos Aires,Bahía Blanca,Batería Nº 4 de la Base Naval de Puerto Belgrano,s/d,Monumento Histórico,Nacional,8/11/1961,Decreto,10525,,,
Buenos Aires,Bahía Blanca,Biblioteca Bernardino Rivadavia,Colón 31,Monumento Histórico,Nacional,2/10/2008,Decreto,1592,,,
